Feedback_ID,Patient_ID,Employee_ID,rating,Comments,Created_On
1,690,215,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,6/30/04
2,666,19,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/22/12
3,471,116,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,9/26/01
4,748,221,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/8/20
5,582,89,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,12/18/22
6,215,149,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,4/26/13
7,77,278,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,10/24/08
8,623,60,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,12/10/08
9,238,22,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,11/11/03
10,170,212,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,7/16/20
11,563,242,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,2/4/25
12,115,172,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/22/08
13,99,134,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,11/7/04
14,387,75,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,4/2/07
15,864,10,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,10/10/06
16,398,25,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/24/13
17,934,55,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,10/6/19
18,991,67,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",10/31/22
19,194,182,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,2/7/16
20,597,230,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/10/18
21,933,34,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,5/19/00
22,758,203,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,9/26/18
23,211,94,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,8/10/22
24,502,61,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,4/16/08
25,652,151,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,2/20/18
26,328,16,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,3/12/14
27,756,96,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/16/10
28,329,148,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",9/6/23
29,658,77,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/25/12
30,370,245,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,8/15/16
31,743,50,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/14/02
32,345,98,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/23/05
33,782,90,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,4/25/11
34,516,241,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,5/6/19
35,578,192,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/23/21
36,382,144,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,9/9/23
37,718,204,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/21/15
38,969,290,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,8/3/05
